PANTONE NAME	C	M	Y	K	
PANTONE 4515 CHC	0	9	52	32	4515
PANTONE 4525 CHC	0	7	41	24	4525
PANTONE 4535 CHC	0	6	33	17	4535
PANTONE 4545 CHC	0	3	25	11	4545
PANTONE 455 CHC	0	13	100	64	455
PANTONE 456 CHC	0	11	100	41	456
PANTONE 457 CHC	0	12	100	32	457
PANTONE 458 CHC	12	12	68	0	458
PANTONE 459 CHC	7	8	56	0	459
PANTONE 460 CHC	3	7	47	0	460
PANTONE 461 CHC	1	4	36	0	461
PANTONE 462 CHC	70	77	100	0	462
PANTONE 463 CHC	58	74	100	0	463
PANTONE 464 CHC	49	71	100	0	464
PANTONE 465 CHC	25	42	63	0	465
PANTONE 466 CHC	14	27	44	0	466
PANTONE 467 CHC	10	20	36	0	467
